Student Number,Gender,Age,Degree,Year Graduated,CGPA,Average Prof Grade,Average Elec Grade,OJT Grade,Leadership POS,Act Member POS,Soft Skills Ave,Hard Skills Ave,Employability
21-00001,Male,26,BSHM,2021,3.55,89.25,70.38,89.5,No,No,3,5,Employable
18-00002,Female,34,BSP,2018,3.94,71.53,81.09,100,Yes,No,2,3,Not Employable
22-00003,Female,29,BSIT,2022,2.72,84.41,77.72,87.86,No,No,3,3,Employable
19-00004,Male,20,BSA,2019,2.81,78.04,87.04,88.85,Yes,Yes,3,5,Employable
21-00005,Male,32,BSE,2021,3.81,81.43,88.99,73.35,No,No,5,1,Not Employable
24-00006,Female,33,BSIT,2024,2.32,80.64,99.99,82.1,No,Yes,4,3,Not Employable
17-00007,Male,26,BSE,2017,2.06,71.81,85.38,95.82,No,No,1,4,Employable
21-00008,Female,20,BSHM,2021,3.82,84,86.54,95.03,No,Yes,1,5,Not Employable
22-00009,Male,26,BSE,2022,3.64,99.84,82.43,85.67,Yes,Yes,1,4,Not Employable
19-00010,Male,29,BSP,2019,3.95,78.97,74.43,97.1,No,No,4,1,Not Employable
18-00011,Male,27,BSCS,2018,2.12,92.08,79.1,74.29,No,No,2,3,Not Employable
22-00012,Female,30,BSCS,2022,2.31,86.43,77.41,89.75,Yes,No,1,4,Not Employable
22-00013,Male,28,BSBA,2022,2.21,79.76,94.04,77.47,Yes,Yes,1,5,Not Employable
17-00014,Female,31,BSP,2017,3.37,72.69,86.37,89.37,Yes,No,1,1,Not Employable
20-00015,Male,22,BSHM,2020,3.21,76.48,78.89,72.62,No,No,2,3,Not Employable
19-00016,Female,34,BSSE,2019,2.72,93.46,84.67,98.31,Yes,Yes,4,3,Employable
16-00017,Male,23,BSCS,2016,2.11,78.37,76.57,93.59,No,Yes,4,1,Employable
22-00018,Female,23,BSHM,2022,3.28,74.33,75.55,76.03,No,Yes,2,1,Not Employable
20-00019,Female,31,BSE,2020,3.14,79.94,95.8,89.12,No,No,5,1,Employable
16-00020,Female,28,BSIT,2016,2.23,87.52,98.34,92.77,Yes,No,3,4,Employable
19-00021,Female,32,BSCS,2019,3.82,91.1,72.4,76.28,No,No,2,2,Employable
15-00022,Female,26,BSP,2015,2.4,81.62,92.95,72.8,No,No,3,3,Not Employable
24-00023,Female,22,BSCS,2024,3.49,84.94,83.6,80.55,No,Yes,4,4,Employable
20-00024,Male,29,BSA,2020,3.77,83.65,81.67,74.07,Yes,Yes,3,5,Employable
23-00025,Female,24,BSA,2023,3.16,70.27,90.68,86.97,Yes,Yes,1,3,Employable
15-00026,Female,26,BSA,2015,2.49,81.87,77.99,82.72,No,No,3,2,Employable
24-00027,Female,27,BSCS,2024,2.62,87.62,70.62,83.87,No,Yes,3,5,Not Employable
17-00028,Male,20,BSBA,2017,3.77,87.1,76.42,86.29,No,No,4,3,Employable
21-00029,Male,31,BSHM,2021,2.6,92.49,75.55,99.46,No,Yes,5,2,Employable
18-00030,Male,21,BSA,2018,3.49,90.11,71.02,93.78,Yes,Yes,3,1,Employable
23-00031,Female,26,BSE,2023,3.98,78.3,79.64,88.88,No,No,4,2,Not Employable
17-00032,Male,30,BSP,2017,4,77.67,84.24,80.91,Yes,Yes,1,3,Employable
19-00033,Male,34,BSN,2019,3.07,83.92,92.07,70.81,No,Yes,3,2,Not Employable
17-00034,Female,32,BSA,2017,3.65,91.99,79.77,73.5,No,No,3,3,Not Employable
21-00035,Female,33,BSHM,2021,3.98,72.81,75.84,91.93,Yes,Yes,1,3,Not Employable
19-00036,Male,32,BSE,2019,2.75,98.45,76.92,81.08,No,No,2,2,Employable
23-00037,Female,34,BSP,2023,2.5,86.29,96.74,80.03,No,Yes,5,2,Not Employable
21-00038,Female,21,BSIT,2021,2.23,79.19,76.14,96.67,Yes,Yes,1,5,Not Employable
16-00039,Female,26,BSSE,2016,2.28,90.8,96.38,84.54,No,No,1,5,Not Employable
18-00040,Female,34,BSE,2018,3.71,71.34,83.41,96.99,Yes,No,1,4,Employable
23-00041,Male,28,BSBA,2023,3.18,84.53,98.03,96.6,Yes,No,2,3,Employable
16-00042,Female,30,BSE,2016,3.75,84.58,82.24,72.41,No,Yes,1,5,Not Employable
24-00043,Male,21,BSE,2024,3.58,74.86,75.33,98.36,Yes,Yes,2,4,Employable
23-00044,Male,26,BSBA,2023,3.35,95.12,86.47,72.31,Yes,No,5,3,Employable
24-00045,Male,23,BSIT,2024,3.22,93.9,87.63,98.91,No,No,2,4,Employable
19-00046,Male,30,BSCS,2019,2.1,74.58,89.06,83.58,No,No,5,5,Not Employable
16-00047,Female,32,BSP,2016,3.74,80.91,82.34,92.83,No,No,5,4,Employable
18-00048,Female,21,BSE,2018,2.84,73.01,71.46,91.18,Yes,Yes,5,2,Employable
21-00049,Female,32,BSE,2021,3.12,95.46,88.8,85.55,No,Yes,4,4,Not Employable
